Item ,Piece Price ,Pack Price,Wholesale / dozen 
Adult hotpants ,150.00,450.00,"1,600.00"
Adult hotpants ,200.00,600.00,"2,200.00"
Adult hotpants ,250.00,750.00,"2,800.00"
Bikers,200.00,600.00,"2,400.00"
Bikers with lace ,250.00,750.00,"2,400.00"
Boob tops ,150.00,450.00,"1,800.00"
Boob tops cartoon,120.00,360.00,"1,200.00"
Boob tops padded ,200.00,600.00,"2,200.00"
Bra cap A,400.00,"1,200.00","4,800.00"
Bra panty set,550.00,"1,650.00","6,600.00"
Cap B,400.00,"1,200.00","4,800.00"
Cap C,400.00,"1,200.00","4,800.00"
Cap D,450.00,"1,350.00","5,400.00"
Cap E,500.00,"1,500.00","6,000.00"
Cap F,550.00,"1,650.00","6,600.00"
Cartoon  boxers L,150.00,450.00,"1,600.00"
Cartoon  boxers M,150.00,450.00,"1,600.00"
Cartoon  boxers S,150.00,450.00,"1,600.00"
Cartoon  boxers XL,150.00,450.00,"1,600.00"
Cartoon boxers 120,150.00,450.00,"1,600.00"
Cartoon boxers 130,150.00,450.00,"1,600.00"
Cartoon boxers 140,150.00,450.00,"1,600.00"
Cartoon boxers 160,150.00,450.00,"1,600.00"
Cartoon boxers 170,150.00,450.00,"1,600.00"
Cartoon boxers 180,150.00,450.00,"1,600.00"
Checked boxers kids ,200.00,600.00,"2,200.00"
Checked boxers men,233.00,699.00,"2,400.00"
Cotton ,150.00,450.00,"1,600.00"
Cotton big ,200.00,600.00,"2,200.00"
Cotton seamless,150.00,450.00,"1,600.00"
Cotton seamless big,200.00,600.00,"2,200.00"
Handkerchiefs,30.00,90.00,350.00
High waist bikers,500.00,"1,500.00","6,000.00"
High waist lace ,500.00,"1,500.00","6,000.00"
High waist lace ,200.00,600.00,"2,200.00"
High waist seamless,400.00,"1,200.00","4,800.00"
Kids 3 pack 13 -15,150.00,450.00,"1,600.00"
Kids 3 pack 2-3,120.00,360.00,"1,200.00"
Kids 3 pack 3 - 4,120.00,360.00,"1,200.00"
Kids 3 pack 5-6,120.00,360.00,"1,200.00"
Kids 3 pack 7 - 8,120.00,360.00,"1,200.00"
Kids 3 pack 9-10,120.00,360.00,"1,200.00"
kids 3 packs  11-12,120.00,360.00,"1,200.00"
Kids bikers,200.00,600.00,"2,200.00"
Kids hotpants 2XL,150.00,450.00,"1,600.00"
Kids hotpants 3XL,150.00,450.00,"1,600.00"
Kids hotpants 4XL,150.00,450.00,"1,600.00"
Kids hotpants Dotted,150.00,450.00,"1,600.00"
Kids hotpants L,150.00,450.00,"1,600.00"
Kids hotpants XL,150.00,450.00,"1,600.00"
Kids hotpants S,150.00,450.00,"1,600.00"
Kids plain boxers 2XL,150.00,450.00,"1,800.00"
Kids plain boxers 3XL,150.00,450.00,"1,800.00"
Kids plain boxers L,150.00,450.00,"1,800.00"
Kids plain boxers M,150.00,450.00,"1,800.00"
Kids plain boxers S,150.00,450.00,"1,800.00"
Kids plain boxers XL,150.00,450.00,"1,800.00"
Lace ,150.00,450.00,"1,600.00"
Lace big,200.00,600.00,"2,200.00"
Men boxers 2XL,250.00,750.00,"2,400.00"
Men boxers 3XL,250.00,750.00,"2,400.00"
Men boxers 4 XL,250.00,750.00,"2,400.00"
Men boxers 5 XL,250.00,750.00,"2,400.00"
Men boxers L,250.00,750.00,"2,400.00"
Men boxers XL,250.00,750.00,"2,400.00"
Mtush bras ,200.00,600.00,"1,800.00"
School Socks ,100.00,300.00,"1,000.00"
Seamless,200.00,600.00,"1,600.00"
Seamless big,200.00,600.00,"2,200.00"
Seamless bikers,250.00,750.00,"2,400.00"
Seamless high waist,450.00,"1,350.00","5,400.00"
Thong ,150.00,450.00,"1,600.00"
Vests boys ,233.00,699.00,"2,400.00"
Vests girls ,233.00,699.00,"2,400.00"
Vests men,250.00,750.00,"2,400.00"
