Category,Item Name,Margin %,Cost,Active Price
SHOES,ANIMAL PRINT ABIBAS,8.57,320,350
SHOES,A2021-2,100,0,330
SHOES,B-5023,100,0,350
SHOES,KSA - 1262,10.71,250,280
SHOES,B-5025,100,0,350
SHOES,KQA2078,10,270,300
SHOES,KBL SANDAL,100,0,150
SHOES,SY-B71 KIDS,6.67,280,300
SHOES,LIAM MEN RUBBERS,14.29,300,350
SHOES,SY-A23,9.09,300,330
SHOES,SY-A25,9.09,300,330
SHOES,A-2021-2,100,0,320
SHOES,SY-126,6.25,300,320
SHOES,KQA - 2471,9.09,300,330
SHOES,BIRKENSTOCK SLIDE,20,280,350
SHOES,A-586,100,0,320
SHOES,D - 3168,9.09,300,330
SHOES,SY-A20,9.09,300,330
SHOES,BTT 335,100,0,250
SHOES,KQA 2186,16.67,500,600
SHOES,KQA - 2158,10,270,300
SHOES,KSA - 1310,10.71,250,280
SHOES,PRE-WALKERS RUBBERS,22.73,170,220
SHOES,PRE-WALKERS GIRLS,20,160,200
SHOES,KQA - 2383,9.38,290,320
SHOES,KSA - 1247,12,220,250
SHOES,SY-59,9.09,300,330
SHOES,CROCKS SLIDE,100,0,150
SHOES,SY-289,8.57,320,350
SHOES,KSA - 1340,10.71,250,280
SHOES,KQA - 2202,15.63,270,320
SHOES,KQA - 2250,15.63,270,320
SHOES,QUEEN SANDALS,25,150,200
SHOES,KTA 7019,15,170,200
SHOES,KSA 1193,0,250,250
SHOES,FASHION SLIDES,100,0,400
SHOES,F-336,8,230,250
SHOES,BTT 343,12,220,250
SHOES,FILA KIDS,16.67,150,180
SHOES,B - 776,9.09,300,330
SHOES,BLACK HEEL,100,0,450
SHOES,KTA 7017,8.57,320,350
SHOES,KIDS SLIDES,27.78,130,180
SHOES,KQA - 2284,9.38,290,320
SHOES,KQA 2197,16.67,500,600
SHOES,B-3168,100,0,330
SHOES,SCHOOL FEES.,3.64,530,550
SHOES,SCHOOL FEES-,3.33,580,600
SHOES,KQA 2378,10,270,300
SHOES,BABY BOOTS,16.67,500,600
SHOES,BLACK SOLE,33.33,200,300
SHOES,SCHOOL FEES,4,480,500
SHOES,HD 121,9.38,290,320
SHOES,KQA 2435,9.38,290,320
SHOES,KQA 2278,3.33,290,300
SHOES,KQA 2341,9.38,290,320
SHOES,W-5D,19.43,282,350
SHOES,DB-9212,100,0,380
SHOES,White sneaker (ladies),33.33,400,600
SHOES,KSA - 1143,12,220,250
SHOES,BABY RUBBERS,25,150,200
SHOES,KIDS RAINBOW -,20,160,200
